COU,Country,VAR,Variable,Landuse
MDA,Moldova,For,Forest % land area,11.753
MDA,Moldova,Mea,Meadows and pastures % land area,10.336
MDA,Moldova,Oth,Other % land area,18.859
MDG,Madagascar,Ara,Arable and cropland % land area,6.188
MDG,Madagascar,For,Forest % land area,21.387
MDG,Madagascar,Mea,Meadows and pastures % land area,64.103
MDG,Madagascar,Oth,Other % land area,8.322
MDV,Maldives,Ara,Arable and cropland % land area,18
MDV,Maldives,For,Forest % land area,2.733
MDV,Maldives,Mea,Meadows and pastures % land area,3.333
MDV,Maldives,Oth,Other % land area,75.933
MEX,Mexico,Ara,Arable and cropland % land area,11.384
MEX,Mexico,For,Forest % land area,33.859
MEX,Mexico,Mea,Meadows and pastures % land area,38.055
MEX,Mexico,Oth,Other % land area,16.695
MHL,Marshall Islands,Ara,Arable and cropland % land area,47.222
MHL,Marshall Islands,For,Forest % land area,52.222
MHL,Marshall Islands,Mea,Meadows and pastures % land area,0.556
MHL,Marshall Islands,Oth,Other % land area,0
MKD,North Macedonia,Ara,Arable and cropland % land area,18.239
MKD,North Macedonia,For,Forest % land area,39.71
MKD,North Macedonia,Mea,Meadows and pastures % land area,31.919
MKD,North Macedonia,Oth,Other % land area,10.131
MLI,Mali,Ara,Arable and cropland % land area,5.377
MLI,Mali,For,Forest % land area,10.897
MLI,Mali,Mea,Meadows and pastures % land area,28.389
MLI,Mali,Oth,Other % land area,55.337
MLT,Malta,Ara,Arable and cropland % land area,32.438
MLT,Malta,For,Forest % land area,1.438
MLT,Malta,Oth,Other % land area,66.125
MMR,Myanmar,Ara,Arable and cropland % land area,19.152
MMR,Myanmar,For,Forest % land area,44.176
MMR,Myanmar,Mea,Meadows and pastures % land area,0.457
MMR,Myanmar,Oth,Other % land area,36.216
MNG,Mongolia,Ara,Arable and cropland % land area,0.857
MNG,Mongolia,For,Forest % land area,9.102
MNG,Mongolia,Mea,Meadows and pastures % land area,71.947
MNG,Mongolia,Oth,Other % land area,18.028
MNP,Northern Mariana Islands,Ara,Arable and cropland % land area,0.37
MNP,Northern Mariana Islands,For,Forest % land area,52.957
MNP,Northern Mariana Islands,Mea,Meadows and pastures % land area,0.804
MNP,Northern Mariana Islands,Oth,Other % land area,45.87
MOZ,Mozambique,Ara,Arable and cropland % land area,7.566
MOZ,Mozambique,For,Forest % land area,47.008
MOZ,Mozambique,Mea,Meadows and pastures % land area,45.098
MOZ,Mozambique,Oth,Other % land area,0.328
MRT,Mauritania,Ara,Arable and cropland % land area,0.399
MRT,Mauritania,For,Forest % land area,0.309
MRT,Mauritania,Mea,Meadows and pastures % land area,38.081
MRT,Mauritania,Oth,Other % land area,61.212
MSR,Montserrat,Ara,Arable and cropland % land area,20
MSR,Montserrat,For,Forest % land area,25
MSR,Montserrat,Mea,Meadows and pastures % land area,10
MSR,Montserrat,Oth,Other % land area,45
MTQ,Martinique,Ara,Arable and cropland % land area,14.717
MTQ,Martinique,For,Forest % land area,49.142
